"","CODE","River_St_1","River_St_2","KendalT.value","KendalT.p.value","N_ties.Station1","N_ties.Station2","Number_data","X","R_Ties_sum","ID_Station_1","ID_Station_2","Num_Syncr_occ","Num_Asyncr_occ","N.SY.N.ALL","KT_.Asyncrony","KT_pvalue_Asy","X.1","KT_.Syncrony","KT_pvalue_Sy","Easting_1","Northing_1","Easting_2","Northing_2","Distance.x","Area_1","Area_2","Media","Max","Min","lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","lag9","lag10","lag710","Station.number","Catchment.area","Station.level","Mean.GDF","Maximum.GDF","Base.flow.index","QMED","Maximum.altitude","Woodland","Arable.horticultural","Grassland","Mountain.heath.bog","Urban.extent","ASPBAR..Â..","BFIHOST....","DPSBAR..m.km.","LDP..km.","PROPWET","URBCON1990","URBCON2000","URBEXT1990","URBEXT2000","URBLOC1990","URBLOC2000","Distance.y","Class","SAAR_61.90","SAAR_41.70","Min.Altitude","X50.Altitude","Max.Min.Altitude"
"9",48,"Ythan","Nidd",0.390769231,0.004691266,0,1,26,2,0,10001,27001,4,22,0.153846154,0.333333333,0.030888794,2,NA,NA,392436,830912,442802,452991,381.4011969,448.1,484.3,"112,5",308,0,1,1,0,0,0,0,1,0,0,1,0,1,0.629606310877375,0.0743801652892562,0.583333333333333,0.116883116883117,0.7625,0.333333333333333,0.583333333333333,0.457142857142857,0.151162790697674,0.660714285714286,0.32,0.85,0.818181818181818,0.225,0.327868852459016,0.24,0.315789473684211,0.119047619047619,NA,NA,0.972,0.959375,NA,NA,381.4011969,"Depdep",0.135416666666667,0.11340206185567,0.636842105263158,0.3125,0.452129221732746
"11",50,"Ythan","Don",0.547368421,0.000480575,0,0,20,2,0,10001,27006,2,18,0.1,0.529411765,0.001670313,NA,NA,NA,392436,830912,438931,390954,442.5695689,448.1,373,"100",262,6,0,0,0,0,0,0,1,0,1,0,0,1,0.629674887062134,0.167410714285714,0.75,0.25,0.7,0.319444444444444,0.425287356321839,0.296296296296296,0.54375,0.889285714285714,0.0555555555555555,0.889473684210526,0.94,0.391666666666667,0.311475409836066,0.481818181818182,0.0192307692307693,0.119047619047619,NA,NA,0.993636363636364,0.99,NA,NA,442.5695689,"2",0.17,0.14,0.784375,0.576923076923077,0.265551181102362
"13",55,"Ythan","Don",0.365517241,0.004174921,0,0,30,2,0,10001,27021,6,24,0.2,0.304347826,0.038521552,2,NA,NA,392436,830912,456977,403973,431.9447165,448.1,1256.2,"68,5",310,1,0,1,1,0,0,0,0,1,1,1,1,3,0.629880463343325,0.643312101910828,0.413333333333333,0.575,0.816129032258065,0.208333333333333,0.705882352941176,0.296296296296296,0.513333333333333,0.589285714285714,0.147058823529412,0.631578947368421,0.953846153846154,0.358333333333333,0.19672131147541,0.25974025974026,0.373493975903614,0.19047619047619,NA,NA,0.994166666666667,0.99,NA,NA,431.9447165,"Depdep",0.036144578313253,0.0697674418604651,0.231884057971015,0.0833333333333334,0.302225547035721
"14",56,"Ythan","Dearne",0.336842105,0.039762137,0,0,20,2,0,10001,27023,4,16,0.2,0.333333333,0.078820678,NA,NA,NA,392436,830912,434970,407279,425.9188714,448.1,118.9,"57,5",325,1,0,1,0,0,0,0,1,1,0,1,0,1,0.629907856270584,0.734375,0.825581395348837,0.808823529411765,0.481818181818182,0.333333333333333,0.46,0,0.594444444444444,0.5,0.081081081081081,0.971428571428571,0.925,0.35,0.114754098360656,0.22972972972973,0.519230769230769,0.238095238095238,NA,NA,0.989230769230769,0.982432432432432,NA,NA,425.9188714,"1",0.072289156626506,0.116279069767442,0.831707317073171,0.214285714285714,0.0913964084695793
"27",96,"Ythan","Bedford Ouse",0.347368421,0.033643947,0,0,20,2,0,10001,33009,3,17,0.15,0.294117647,0.108864595,NA,NA,NA,392436,830912,494993,256463,583.728257,448.1,1320,"67",316,0,1,2,0,0,0,0,0,0,0,0,0,0,0.697022024296404,0.660606060606061,0.817073170731707,0.291666666666667,0.592857142857143,0.263888888888889,0.404761904761905,0.342105263157895,0.336363636363636,0.107142857142857,0.0882352941176471,0.985714285714286,0.828571428571429,0.316666666666667,0.262295081967213,0.456140350877193,0.458333333333333,0.285714285714286,NA,NA,0.965,0.960606060606061,NA,NA,583.728257,"1",0.228915662650602,0.232558139534884,0.8275,0.0909090909090909,0.437148217636023
"52",206,"Ythan","Teme",0.442105263,0.005923797,0,0,20,2,0,10001,54008,6,14,0.3,NA,NA,NA,NA,NA,392436,830912,359770,268520,563.5439779,448.1,1134.4,"68,5",307,1,0,3,0,0,1,0,2,0,0,0,0,0,0.814823729817805,0.604938271604938,0.84375,0.546666666666667,0.772,0.222222222222222,0.642857142857143,0.296296296296296,0.336363636363636,0.607142857142857,0.442622950819672,0,0.368421052631579,0.142857142857143,0,0.525,0.373493975903614,0.142857142857143,NA,NA,0.890625,0.783333333333333,NA,NA,563.5439779,NA,0.0119047619047619,0.0227272727272727,0.85625,0.476190476190476,0.241666666666667
"68",260,"Ythan","Tame",0.494736842,0.001839701,0,2,20,2,0,10001,69027,1,19,0.05,0.450292398,0.00656594,NA,NA,NA,392436,830912,390699,391870,439.2076744,448.1,150,"81,5",333,9,0,0,0,0,0,0,0,0,0,1,0,1,0.855114665275907,0.665178571428571,0.825581395348837,0.397058823529412,0.0806451612903226,0.236111111111111,0.193548387096774,0.344827586206897,0.391666666666667,0.980357142857143,0,0.908695652173913,0.952,0.538461538461538,0.39344262295082,0.525,0.0769230769230769,0.222222222222222,NA,NA,0.993636363636364,0.991333333333333,NA,NA,439.2076744,"1",0.308333333333333,0.283333333333333,0.8275,0.541666666666667,0.309074074074074
"74",796,"Dee","Tay",0.556923077,2.9e-05,1,0,26,2,0,12001,15003,13,13,0.5,NA,NA,NA,NA,NA,363482,795613,308289,739575,78.67937148,1370,3210,"10",360,0,3,6,0,0,0,0,1,2,1,0,0,1,0.200093314670399,0.573208722741433,0.492957746478873,0.735714285714286,0.48,0.171875,0.488372093023256,0.0769230769230769,0.1875,0.808571428571429,0.454545454545455,0.2,0.6,0.225,0.137254901960784,0,0.0833333333333334,0.101449275362319,NA,NA,0.285714285714286,0.3,NA,NA,78.67937148,NA,0.3125,0.25,0.492957746478873,0.137254901960784,0.0528885272579332
"77",799,"Dee","Tay",0.366153846,0.00833579,1,1,26,2,0,12001,15006,10,16,0.384615385,0.166666667,0.398414416,NA,NA,NA,363482,795613,314750,736680,76.49625319,1370,4587.1,"17,5",360,0,7,1,0,0,0,0,2,0,0,0,0,0,0.200253232040517,0.701329845214737,0.633802816901408,0.782352941176471,0.61,0.184615384615385,0.555555555555556,0.0769230769230769,0.1875,0.513888888888889,0.52,0.314285714285714,0.146341463414634,0.335714285714286,0.0784313725490197,0.105263157894737,0.153846153846154,0.0645161290322581,NA,NA,0.642857142857143,0.333333333333333,NA,NA,76.49625319,"1",0.214285714285714,0.142857142857143,0.690140845070423,0.215686274509804,0.0414971521562246
"78",800,"Dee","Tay",0.328063241,0.029152356,1,0,23,2,0,12001,15007,8,15,0.347826087,0.161904762,0.435118911,NA,NA,NA,363482,795613,292403,753411,82.68828091,1370,1149.4,"18",360,0,3,2,1,0,0,1,1,0,0,0,0,0,0.20030652362231,0.161313868613139,0.140845070422535,0.372881355932203,0.230769230769231,0.158730158730159,0.204545454545455,0.0769230769230769,0.0714285714285715,0.794285714285714,0.612903225806452,0.285714285714286,0.6,0.10752688172043,0.137254901960784,0.173913043478261,0.190909090909091,0.114285714285714,NA,NA,0,0.3,NA,NA,82.68828091,"1",0.45,0.368421052631579,0.0704225352112676,0.0980392156862745,0.0772986167615948
